#Format version: 1.0
time[us],accX[mg],accY[mg],accZ[mg],gyroX[mdps],gyroY[mdps],gyroZ[mdps],magnX[mG],magnY[mG],magnZ[mG],press[hPa],temp[°C],hum[%RH],newData,interrupts,fsm1,fsm2,fsm3,fsm4,fsm5,fsm6,fsm7,fsm8,fsm9,fsm10,fsm11,fsm12,fsm13,fsm14,fsm15,fsm16,src0,src1,src2,src3,src4,src5,src6,src7,
303234143,-24,3,1009,-297,-735,-87,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
303274597,-23,3,1009,-297,-735,-87,,,,,,,0x058,,,,,,,,,,,,,,,,,,,,,,,,,,
303315362,-23,3,1009,-297,-735,-122,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
303355783,-23,3,1009,-297,-752,-105,,,,,,,0x058,,,,,,,,,,,,,,,,,,,,,,,,,,
303396580,-22,3,1009,-297,-752,-87,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
303436986,-23,4,1009,-297,-752,-122,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
303477801,-23,3,1009,-315,-735,-122,,,,,,,0x058,,,,,,,,,,,,,,,,,,,,,,,,,,
303518210,-23,3,1009,-297,-770,-140,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
303559023,-24,3,1009,-297,-752,-87,,,,,,,0x058,,,,,,,,,,,,,,,,,,,,,,,,,,
303599432,-23,2,1009,-297,-735,-87,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
303640198,-22,4,1009,-280,-752,-105,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
303681109,-23,4,1009,-280,-752,-87,,,,,,,0x058,,,,,,,,,,,,,,,,,,,,,,,,,,
303721431,-24,1,1009,-297,-770,-105,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
303762212,-25,2,1008,-315,-770,-122,,,,,,,0x058,,,,,,,,,,,,,,,,,,,,,,,,,,
303802618,-22,2,1008,-297,-770,-122,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
303843388,-21,3,1008,-297,-770,-122,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
303883844,-23,3,1009,-297,-770,-105,,,,,,,0x058,,,,,,,,,,,,,,,,,,,,,,,,,,
303924610,-23,2,1008,-315,-735,-105,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
303965066,-24,4,1009,-297,-770,-140,,,,,,,0x058,,,,,,,,,,,,,,,,,,,,,,,,,,
304005828,-24,4,1009,-297,-770,-105,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
304046592,-22,1,1008,-297,-752,-122,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
304087047,-22,2,1008,-297,-752,-140,,,,,,,0x058,,,,,,,,,,,,,,,,,,,,,,,,,,
